location;Code;Year;Executions;Meningitis;Alzheimer;Parkinson;Nutritional_deficiencies;Malaria;Drowning;Interpersonal_violence;Maternal_disorders;HIV/AIDS;Drug_use_disorders;Tuberculosis;Cardiovascular_diseases;Lower_respiratory_infections;Neonatal_disorders;Alcohol_use_disorders;Self-harm;Exposure_to_forces_of_nature;Diarrheal;Environmental_heat_and_cold_exposure;Neoplasms;Conflict_and_terrorism;Diabetes_mellitus;Chronic_kidney;Poisonings;Protein-energy_malnutrition;Terrorism;Road_injuries;Chronic_respiratory;Cirrhosis_and_other_chronic liver;Digestive;Fire_heat_and_hot_substances;Acute_hepatitis;covid_death
Cook Islands;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16685.0
Croatia;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3535.0
Canada;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13885.0
Chile;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8001.0
Cape Verde;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;240.0
Cambodia;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Central African Republic;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.0
Congo;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;259.0
Cook Islands;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0
Cote d'Ivoire;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91.0
Democratic Republic of Congo;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;614.0
Curacao;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175.0
Cyprus;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;437.0
Democratic Republic of Congo;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;170.0
Czechia;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24565.0
Djibouti;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61.0
Egypt;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7631.0
